Stock No,TICKER,CUSIP,Avg CashFlow,Avg Lev Ratio (BV),Avg Lev Ratio (MV),Avg Earnings
319,INTC,458140100,58787.5,0.1,0,7912.5
320,INS,45816D100,103.6,0,0,1.4
321,INRD,45779C107,-13.5,0.5,0.6,-0.6
322,ITDN,458661204,0,0,0,0
323,TILE,458665304,683.4,0.7,0.8,-1.6
324,IBM,459200101,27806.2,0.3,0.2,11124.9
325,IFF,459506101,-4084.1,0.5,0.2,240.5
326,NAV,6.39E+112,0,1.3,2.2,-135.1
327,IDCC,45867G101,1052.6,0.1,0.1,72.5
328,IP,460146103,-10993.8,0.6,0.8,418.2
329,ISCA,460335201,1165.5,0.3,0.2,52.5
330,ENB,29250N105,4908.8,1,0.8,788.5
331,IPG,460690100,-1312.7,0.2,0.4,105.7
332,ISRL,465141406,90.8,1.2,0.4,-1.4
333,AXE,35290105,-673.1,0.4,0.4,121
334,JEC,469814107,1373.5,0,0,248.2
335,EME,29084Q100,2787.6,0.1,0.1,92.4
336,JNJ,478160104,40650,0.1,0,10590.5
337,JCI,G51502105,-2657.5,0.2,0.2,948.7
338,KLAC,482480100,1717.5,0.2,0.1,336.5
339,SHLD,812350106,5881.2,0.2,1.8,-628.4
340,PNRG,7.42E+108,-147,0.9,0.9,6.5
341,KAMN,483548103,-480.3,0.2,0.2,32
342,KSU,485170302,-1003.7,0.5,0.6,209.1
343,KATYQ,486026107,215.5,0.2,1.3,-15.2
344,K,487836108,279.4,0.8,0.3,962.5
345,KELYA,488152208,-263.7,0,0,25.1
346,KMT,489170100,1043.7,0.3,0.3,72.1
347,IHRC,461556102,6.7,0,0.2,1.4
348,KEQU,492854104,31.1,0,0.1,2.1
349,KBAL,494274103,182.8,0,0,18.5
350,KMB,494368103,-1335.6,0.4,0.1,1681.8
351,KEX,497266106,-117.2,0.3,0.2,127
352,KOSS,500692108,35.6,0,0,3.1
353,KR,501044101,3262.5,0.6,0.5,1025.7
354,KLIC,501242101,1646.8,0.8,0.5,18.8
355,LYTS,50216C108,94,0,0,5.3
356,LXU,502160104,-427.5,1.1,1.4,22.3
357,XCRA,98400J108,-723.5,0.3,0.2,-24.2
358,LZB,505336107,704.5,0.1,0.1,28.8
359,LRCX,512807108,19166.1,0.2,0.1,271.3
360,LANC,513847103,970.1,0,0,89
361,LNCE,833551104,5751,0.2,0.1,40.3
362,LAWS,520776105,97.3,0,0,2.3
363,LEE,523768109,-585.3,2.9,5,-19.1
364,LEG,524660107,-1104.4,0.4,0.2,195.7
365,LEN,526057104,5490.6,0.7,0.9,259.9
366,LEFUF,526682109,-630.7,0.1,0.1,54
367,LCAR,526867106,-2.6,0,0,-0.2
368,LUK,527288104,22922.6,0.3,0.5,283.4
369,LLY,532457108,12802.5,0.3,0.1,2859.9
370,LB,501797104,3052.7,0.9,0.3,701.4
371,LECO,533900106,2578.5,0.1,0.1,148
372,LBLCF,539481101,-4881.2,0.5,0.4,565.6
373,LMT,539830109,-543.8,0.3,0.2,2088
374,L,540424108,3956.3,0.1,0.6,1141.6
375,RRC,75281A109,-73.3,0.7,0.5,51.2
376,LPX,546347105,-1076.9,0.4,0.7,-2.1
377,LOW,548661107,-16423.6,0.3,0.2,2084.5
378,LUB,549282101,-134.5,0.2,0.3,-3.6
379,LDL,550819106,1248,0.1,0.1,9.3
380,LGL,50186A108,225,0.1,0.3,-1.2
381,MDC,552676108,526.5,0.5,0.5,70
382,MTSC,553777103,4114.5,0.1,0.1,32.6
383,PALDF,65704X109,-451.7,0.3,0.5,-47.6
384,MGA,559222401,10368.8,0,0.1,827.1
385,MTW,563571405,1374.1,0.6,0.8,21.8
386,MRO,565849106,25187.5,0.2,0.3,1911.9
387,MCS,566330106,202.8,0.5,0.6,27.8
388,HST,44107P104,-2960,1.3,1,220.9
389,MMC,571748102,9700,0.3,0.2,1043.7
